model,subject,n_cycles,accuracy
lstm,Andy_Dynamic,424,0.7358490566037735
lstm,Ankan_Dynamic,528,0.615530303030303
lstm,David_Dynamic,507,0.8284023668639053
lstm,Hrithik_Dynamic,481,0.8918918918918919
lstm,JJ_Dynamic,480,0.675
lstm,Mustafa_Dynamic,563,0.8490230905861457
lstm,Rezoan_Dynamic,456,0.8771929824561403
lstm,Sudipta_Dynamic,560,0.9607142857142857
lstm,Tianjun_Dynamic,486,0.6481481481481481
lstm,Zongwei_Dynamic,681,0.7988252569750367
gru,Andy_Dynamic,424,0.7688679245283019
gru,Ankan_Dynamic,528,0.6193181818181818
gru,David_Dynamic,507,0.8895463510848126
gru,Hrithik_Dynamic,481,0.9313929313929314
gru,JJ_Dynamic,480,0.71875
gru,Mustafa_Dynamic,563,0.8561278863232682
gru,Rezoan_Dynamic,456,0.8837719298245614
gru,Sudipta_Dynamic,560,0.9375
gru,Tianjun_Dynamic,486,0.6851851851851852
gru,Zongwei_Dynamic,681,0.6563876651982379
cnn,Andy_Dynamic,424,0.5094339622641509
cnn,Ankan_Dynamic,528,0.6003787878787878
cnn,David_Dynamic,507,0.7692307692307693
cnn,Hrithik_Dynamic,481,0.7983367983367984
cnn,JJ_Dynamic,480,0.4166666666666667
cnn,Mustafa_Dynamic,563,0.7726465364120781
cnn,Rezoan_Dynamic,456,0.9429824561403509
cnn,Sudipta_Dynamic,560,0.9214285714285714
cnn,Tianjun_Dynamic,486,0.7654320987654321
cnn,Zongwei_Dynamic,681,0.9823788546255506
